"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
16,"http://bbs.cehome.com/thread-614013-1-1.html","挖掘机专区","选购询价","求购12-16之间的一手合资60小挖","要有合格证发票，原版漆，土方机，年限，12年前后，求购地点，江西省。","修不完的地球","2016-1-1 20:42:09","[6-12吨]","求购 之间 一手 合资 小挖 要有 合格证 发票 原版 土方 年限 年前 求购 地点 江西省"
17,"http://bbs.cehome.com/thread-614006-1-1.html","挖掘机专区","选购询价","求购一台新源90轮挖，带夹木器的","求购一台新源90轮挖，带夹木器的！手机号13869905593","Chuanjie","2016-1-1 20:28:38","[机型对比]","求购 一台 新源 木器 求购 一台 新源 木器 手机号"
18,"http://bbs.cehome.com/thread-613991-1-1.html","挖掘机专区","选购询价","求购小挖一台","60机价格在17万左右年限不超过2年国产的小牌子免谈","开山2013","2016-1-1 19:56:11","[6-12吨]","求购 小挖 一台 价格 左右 年限 超过 国产 小牌 免谈"
19,"http://bbs.cehome.com/thread-613969-1-1.html","挖掘机专区","选购询价","求购小挖12年下半年以后的55*60*70系列","微信13561085566","广饶求购小挖","2016-1-1 18:58:29","[5吨以下]","求购 小挖 年下 半年 以后 系列"
20,"http://bbs.cehome.com/thread-613956-1-1.html","挖掘机专区","杂谈图库","求60","福建地区求，曰力60，70，神刚75，三一75’要二十w上下的","lty123","2016-1-1 17:21:00","[美图转发]","福建 地区 三一 二十 上下"
21,"http://bbs.cehome.com/thread-613946-1-1.html","挖掘机专区","选购询价","求购20吨的挖机","求购一台15万左右的日历200挖机，要求日本原装进口，报过关的，无锤史，大件没动过，最好在山东，有车的联系，13905411130","山东大","2016-1-1 16:21:53","[21-30吨]","求购 挖机 求购 一台 左右 日历 挖机 要求 日本 原装 进口 过关 无锤 大件 没动 最好 山东 有车 联系"
22,"http://bbs.cehome.com/thread-613937-1-1.html","挖掘机专区","选购询价","求购小挖机","河北境内求购小挖机一台价格十五，左右QQ905578712电话18132628998","liujinliang","2016-1-1 15:13:45","[机型对比]","求购 小挖 河北 境内 求购 小挖 一台 价格 十五 左右 电话"
23,"http://bbs.cehome.com/thread-613897-1-1.html","挖掘机专区","选购询价","青海附近求购60或70","青海附近求购一台60  70  微信zhao13734654236","青AB小赵","2016-1-1 11:59:01","[6-12吨]","青海 附近 求购 青海 附近 求购 一台"
24,"http://bbs.cehome.com/thread-613857-1-1.html","挖掘机专区","选购询价","买台二手现代150","甲友们，现代150车怎么样？我想买台二手车11年的值多少钱？土方机！","谭树霞","2016-1-1 09:23:13","[13-20吨]","二手 现代 现代 怎么样 想买 二手车 多少钱 土方"
25,"http://bbs.cehome.com/thread-613809-1-1.html","挖掘机专区","选购询价","求购一台220以上挖机一台","个人和我联系30万以内微信15252016114","徐州苏烟","2016-1-1 01:43:28","[机型对比]","求购 一台 以上 挖机 一台 个人 和我 联系 以内"
26,"http://bbs.cehome.com/thread-614848-1-1.html","挖掘机专区","选购询价","广西求购一台可以转分期的挖掘机","广西求购一台可以转分期的小松360 非诚勿扰","谢大炮","2016-1-4 22:27:05","[30吨以上]","广西 求购 一台 可以 分期 挖掘机 广西 求购 一台 可以 分期 小松 勿扰"
27,"http://bbs.cehome.com/thread-614837-1-1.html","挖掘机专区","选购询价","求购卡特323挖机","求购卡特323挖机，要12年以后的，前段时间发过求购贴，由于资金问题没买成，初步打算年底或年初买台挖机，有货的拿来换钱了!","求购卡特323","2016-1-4 22:05:35","[21-30吨]","求购 卡特 挖机 求购 卡特 挖机 以后 前段时间 发过 求购 由于 资金 问题 买成 初步 打算 年底 年初 挖机 有货 拿来 换钱"
28,"http://bbs.cehome.com/thread-614831-1-1.html","挖掘机专区","选购询价","求购306或307都行","小松或卡特电话微信13831905672","NLP123","2016-1-4 21:50:42","[6-12吨]","求购 都行 小松 卡特 电话"
29,"http://bbs.cehome.com/thread-614807-1-1.html","挖掘机专区","我爱我挖","求购山东地区日立120.小松130.","山东地区有没有车况好点的中型车，最好是10年以后的，有的抛过来，电话13953641056","铁甲坚果","2016-1-4 20:26:29","[提车作业]","求购 山东 地区 日立 小松 山东 地区 有没有 车况 好点 中型车 最好 以后 有的 过来 电话"
30,"http://bbs.cehome.com/thread-614780-1-1.html","挖掘机专区","我爱我挖","求购二手挖掘机","想买个二手挖掘机20顿的，什么牌子的好，哪里有","难忘记忆","2016-1-4 19:01:46","[维修改装]","求购 二手 挖掘机 想买 二手 挖掘机 什么 牌子 哪里"
31,"http://bbs.cehome.com/thread-614751-1-1.html","挖掘机专区","选购询价","求购精品60小挖机","感觉自己挖机好的来","小磊《》","2016-1-4 17:24:27","[6-12吨]","求购 精品 小挖 感觉 自己 挖机"
32,"http://bbs.cehome.com/thread-614739-1-1.html","挖掘机专区","我爱我挖","急购三一60，看清楚，是三一60","最好是这几天能到手，活忙，要求12年以后的，2800～3800以内的，有的速度联系","","2016-1-4 17:03:05","[提车作业]","三一 看清楚 三一 最好 这几 能到 要求 以后 以内 有的 速度 联系"
33,"http://bbs.cehome.com/thread-614710-1-1.html","","","","","","","",""
34,"http://bbs.cehome.com/thread-614658-1-1.html","挖掘机专区","我爱我挖","求二手小松","求购二手小松一台","张卡特320","2016-1-4 11:42:49","[维修改装]","二手 小松 求购 二手 小松 一台"
35,"http://bbs.cehome.com/thread-614615-1-1.html","挖掘机专区","选购询价","求购","江西，广东，湖南地区求购卡特320","铁宝贝、","2016-1-4 09:10:09","[21-30吨]","求购 江西 广东 湖南 地区 求购 卡特"
36,"http://bbs.cehome.com/thread-615097-1-1.html","挖掘机专区","选购询价","求购80左右合资品牌挖机","求购河南新乡周边80左右的合资品牌带推土板的挖机，个人用的土方车，价格在18左右，13598686426微信同号。","R60-9","2016-1-5 21:25:34","[6-12吨]","求购 左右 合资 品牌 挖机 求购 河南 新乡 周边 左右 合资 品牌 推土 挖机 个人 土方 价格 左右 同号"
37,"http://bbs.cehome.com/thread-615087-1-1.html","挖掘机专区","选购询价","广州地区求购60机","归属地：中国,广东,广州 ）求购机型:    PC60-6价格:    12 万元附言说明:    -广州地区求购C60-6小松挖机(要品相好.靓机)垃圾机.残机.不要来.QQ:599464181可以加微信. Honda-I-love先看个具体.然后再实地看.可以的话.能马上交易.中介,黑心,当宝的勿扰.卡特307或者住友60```都可以来```只要机靓的```","sparrow","2016-1-5 21:15:36","[6-12吨]","广州 地区 求购 归属 中国 广东 广州 求购 机型 价格 万元 附言 说明 广州 地区 求购 小松 挖机 品相 垃圾 不要 可以 先看 具体 然后再 实地 可以 的话 马上 交易 中介 黑心 勿扰 卡特 或者 住友 都可以 只要"
38,"http://bbs.cehome.com/thread-615083-1-1.html","挖掘机专区","选购询价","求购20吨挖机","山东境内求购20吨挖机，国产机不要，合资机和进口机，准备了20万元，电话13905411130","山东大","2016-1-5 21:10:46","[21-30吨]","求购 挖机 山东 境内 求购 挖机 国产 不要 合资 进口 准备 万元 电话"
39,"http://bbs.cehome.com/thread-615043-1-1.html","挖掘机专区","选购询价","求购200挖机","求够斗三215或现代215――7s要求大件没动，没打过炮价格合适的","也许12","2016-1-5 19:39:42","[21-30吨]","求购 挖机 现代 要求 大件 没动 没打 价格 合适"
40,"http://bbs.cehome.com/thread-615000-1-1.html","挖掘机专区","选购询价","求购","陕西宝鸡地区求购小松240，神钢250自用车三年以内的","13891773945","2016-1-5 16:50:32","[21-30吨]","求购 陕西 宝鸡 地区 求购 小松 神钢 自用车 三年 以内"
41,"http://bbs.cehome.com/thread-614974-1-1.html","挖掘机专区","选购询价","湖南地区求购打不上分期挖机。","求购求购","郭邦","2016-1-5 15:29:47","[13-20吨]","湖南 地区 求购 分期 挖机 求购 求购"
42,"http://bbs.cehome.com/thread-614960-1-1.html","挖掘机专区","我爱我挖","求购一个1字头机！土方的，动作要快","楼下的熊大你顶起来顶起来","铁甲张永","2016-1-5 15:02:18","[提车作业]","求购 一个 字头 土方 动作 要快 楼下 顶起来 顶起来"
43,"http://bbs.cehome.com/thread-614954-1-1.html","挖掘机专区","选购询价","求一台小松60-7..13-15万这样的","谁有......","0嘻嘻哈哈0","2016-1-5 14:05:09","[6-12吨]","一台 小松 这样 谁有"
44,"http://bbs.cehome.com/thread-614931-1-1.html","挖掘机专区","我爱我挖","求购卡特307","求购卡特307","￥挖挖￥","2016-1-5 12:02:16","[提车作业]","求购 卡特 求购 卡特"
45,"http://bbs.cehome.com/thread-614929-1-1.html","挖掘机专区","杂谈图库","求购120到150挖机","求购河南省内的120,到150型号挖机，品牌不限，车况要好，拒绝翻新车，20万以内，天价勿扰","宝鼎90挖掘机","2016-1-5 11:58:08","[生活杂谈]","求购 挖机 求购 河南省 型号 挖机 品牌 不限 车况 要好 拒绝 翻新 以内 天价 勿扰"
46,"http://bbs.cehome.com/thread-614924-1-1.html","挖掘机专区","选购询价","求购小挖","求玉柴60一8 78分新中介勿扰微信h13960296234","福建忠兴","2016-1-5 11:34:44","[6-12吨]","求购 小挖 玉柴 中介 勿扰"
47,"http://bbs.cehome.com/thread-615439-1-1.html","挖掘机专区","选购询价","求购卡特312","求购卡特312五千小时以内的机子","新手小松","2016-1-6 23:25:47","[6-12吨]","求购 卡特 求购 卡特 小时 以内 机子"
48,"http://bbs.cehome.com/thread-615417-1-1.html","挖掘机专区","选购询价","求购挖掘机","求购130-150挖掘机，北京车源，贩子勿扰","QQmm","2016-1-6 22:15:26","[13-20吨]","求购 挖掘机 求购 挖掘机 北京 贩子 勿扰"
49,"http://bbs.cehome.com/thread-615353-1-1.html","挖掘机专区","选购询价","求购小挖机","求购70，80，大臂在驾驶室边上的，有推土产的小挖机，价格在10多点的，电话微信18730513831","农用挖机","2016-1-6 19:29:06","[6-12吨]","求购 小挖 求购 驾驶室 边上 推土 小挖 价格 多点 电话"
50,"http://bbs.cehome.com/thread-615342-1-1.html","挖掘机专区","选购询价","山东地区求购55.60小挖。20万左右。贩子勿","收个20左右车，小时不要超过3000，国产不要","15564135215","2016-1-6 18:53:03","[6-12吨]","山东 地区 求购 小挖 左右 贩子 左右 小时 不要 超过 国产 不要"
51,"http://bbs.cehome.com/thread-615338-1-1.html","挖掘机专区","选购询价","求购150以上挖掘机","车况好一点的轮挖15215993826","工程机械山东","2016-1-6 18:45:14","[13-20吨]","求购 以上 挖掘机 车况 一点"
52,"http://bbs.cehome.com/thread-615307-1-1.html","挖掘机专区","选购询价","求购320","求购一台320、V1、V2都行，最好广东，湖南，江西地区，13640179566","铁宝贝、","2016-1-6 16:40:53","[21-30吨]","求购 求购 一台 都行 最好 广东 湖南 江西 地区"
53,"http://bbs.cehome.com/thread-615276-1-1.html","挖掘机专区","选购询价","年前急需购买挖机！最好现代、斗山","年前急需购买挖机！真好是现代和斗山！要求车况要好！土方车！18651993220加我微信！","常州石琳","2016-1-6 14:24:49","[21-30吨]","年前 急需 购买 挖机 最好 现代 斗山 年前 急需 购买 挖机 真好 现代 和斗 要求 车况 要好 土方 加我"
54,"http://bbs.cehome.com/thread-615254-1-1.html","挖掘机专区","选购询价","收台15－20万左右的机","20吨的中机","好梦一下醒o","2016-1-6 12:59:09","[13-20吨]","左右"
55,"http://bbs.cehome.com/thread-615245-1-1.html","挖掘机专区","选购询价","求购小挖安徽合肥附近的","60，65的机型，要侧大臂的！","小妞哥看上你了","2016-1-6 12:39:02","[6-12吨]","求购 小挖 安徽 合肥 附近 机型"
56,"http://bbs.cehome.com/thread-615218-1-1.html","挖掘机专区","选购询价","求购10吨左右进口挖机","求购10吨左右进口挖机，车况好年轻的机子！1375041993","忻州铲车先生","2016-1-6 11:10:01","[13-20吨]","求购 左右 进口 挖机 求购 左右 进口 挖机 车况 年轻 机子"
57,"http://bbs.cehome.com/thread-615196-1-1.html","挖掘机专区","我爱我挖","求购70   75车子","最好是合资车子，二十以内 江西附近15970714999","15970714999","2016-1-6 09:55:58","[提车作业]","求购 车子 最好 合资 车子 二十 以内 江西 附近"
58,"http://bbs.cehome.com/thread-615171-1-1.html","挖掘机专区","选购询价","求购70 或80挖机，江西附近","本人求购一台七八吨的小挖，品牌不限，最好是合资车，价格在二十万以内的，本人号码15970367744","a15970367744","2016-1-6 08:39:22","[6-12吨]","求购 挖机 江西 附近 本人 求购 一台 七八 小挖 品牌 不限 最好 合资 价格 二十万 以内 本人 号码"
59,"http://bbs.cehome.com/thread-615139-1-1.html","挖掘机专区","选购询价","求购65-85的挖掘机15万以下的。","电话13152649659","挖鸡森生","2016-1-6 03:04:19","[6-12吨]","求购 挖掘机 以下 电话"
60,"http://bbs.cehome.com/thread-615137-1-1.html","挖掘机专区","选购询价","收台十万左右卡特70B，可操作","最好广东的","钩机李","2016-1-6 01:49:27","[6-12吨]","十万 左右 卡特 可操作 最好 广东"
61,"http://bbs.cehome.com/thread-615707-1-1.html","挖掘机专区","选购询价","个人求购小松130自己用的，","最好是广西区内的？贴限5天内","如痴如醉","2016-1-7 23:33:46","[13-20吨]","个人 求购 小松 自己 最好 广西 区内 天内"
62,"http://bbs.cehome.com/thread-615687-1-1.html","挖掘机专区","选购询价","寻找多台现代130-5的","机子尽量有百分之60的原版油漆，不打炮的最好，车子性能正常的就好！价格7-8万左右的！有货的赶紧了！！！15874221430","长沙斗山工程队","2016-1-7 22:09:08","[13-20吨]","寻找 多台 现代 机子 尽量 百分之 原版 油漆 不打 最好 车子 性能 正常 就好 价格 左右 有货 赶紧"
63,"http://bbs.cehome.com/thread-615660-1-1.html","挖掘机专区","选购询价","求购120～150机机","谁有120左右的机机价格范围在15万左右，有的发图来看看，机况要好广东范围的最好","加藤小陈","2016-1-7 20:37:30","[13-20吨]","求购 谁有 左右 价格 范围 左右 有的 来看 要好 广东 范围 最好"
64,"http://bbs.cehome.com/thread-615637-1-1.html","挖掘机专区","我爱我挖","想买个二手50或60的小挖。","想买个二手50，，60的小挖在村里搞出租能行吗，一小时在120.","提米拉苏","2016-1-7 19:31:04","[操作技巧]","想买 二手 小挖 想买 二手 小挖 村里 搞出 能行 一小时"
65,"http://bbs.cehome.com/thread-615610-1-1.html","挖掘机专区","选购询价","求购150","求购斗山150一台，要求12年后的没打过破碎","小哥666","2016-1-7 18:41:11","[13-20吨]","求购 求购 斗山 一台 要求 年后 没打 破碎"
66,"http://bbs.cehome.com/thread-615578-1-1.html","挖掘机专区","我爱我挖","求购轮式挖掘机","求2手轮式90左右挖掘机5w左右13463269013本人河北保定的，希望别太远","A13463269013","2016-1-7 16:37:19","[提车作业]","求购 轮式 挖掘机 手轮 左右 挖掘机 左右 本人 河北 保定 希望 太远"
67,"http://bbs.cehome.com/thread-615971-1-1.html","挖掘机专区","选购询价","本人有台60的，想买个75一80的","三一75性能如何？哪个兄弟了解，告诉我下。","乔家少爷","2016-1-8 23:17:10","[6-12吨]","本人 想买 三一 性能 如何 哪个 兄弟 了解 告诉我"
68,"http://bbs.cehome.com/thread-615912-1-1.html","我与工程机械","故障咨询","求购现代150，20万左右的机子，","求购现代150！20万左右的机子。要求在湖北，陕西，境內！","挖机雷哥","2016-1-8 20:32:07","[漏油/漏水]","求购 现代 左右 机子 求购 现代 左右 机子 要求 湖北 陕西"
69,"http://bbs.cehome.com/thread-615895-1-1.html","挖掘机专区","选购询价","求购120","求购日立120，小松110，价格30以内，车最好在湖南，电话/微信13874155185","13874155185","2016-1-8 20:00:52","[6-12吨]","求购 求购 日立 小松 价格 以内 最好 湖南 电话"
70,"http://bbs.cehome.com/thread-615857-1-1.html","挖掘机专区","选购询价","收一台60-80的小挖价格15以内","要求三大件未动没带过锤子。。。最好合资","XRswm","2016-1-8 18:06:05","[6-12吨]","一台 小挖 价格 以内 要求 大件 未动 没带 锤子 最好 合资"
71,"http://bbs.cehome.com/thread-615818-1-1.html","挖掘机专区","选购询价","求购60一80机子牌子不限！","福建求购60到80的机子，车况好！","轮式抓木机","2016-1-8 15:37:33","[6-12吨]","求购 机子 牌子 不限 福建 求购 机子 车况"
72,"http://bbs.cehome.com/thread-615797-1-1.html","挖掘机专区","选购询价","购车","自己用   求购       想在郑州附近求够      卡特  小松    日立   60   70    车贩子请绕道   15964431018","shuyang","2016-1-8 14:00:04","[6-12吨]","购车 自己 求购 想在 郑州 附近 卡特 小松 日立 贩子 绕道"
73,"http://bbs.cehome.com/thread-616435-1-1.html","挖掘机专区","选购询价","我是榆次的，想买个小挖干！","有个12年的60龙工，2400小时，13万，有个神钢，怠速支不起车来，也是要的13万，小伙伴们给点意见","卖火柴的小男孩","2016-1-10 20:27:04","[6-12吨]","榆次 想买 小挖 小时 神钢 也是 小伙伴 给点 意见"
74,"http://bbs.cehome.com/thread-616421-1-1.html","挖掘机专区","选购询价","求购二字头挖机","价格在35万以内，斗山225.258，小松240，卡特320。用户工地车首选。。有车的朋友联系一下","广安糖糖哥","2016-1-10 20:06:10","[21-30吨]","求购 字头 挖机 价格 以内 斗山 小松 卡特 用户 工地 首选 有车 朋友 联系 一下"
75,"http://bbs.cehome.com/thread-616389-1-1.html","","","","","","","",""
76,"http://bbs.cehome.com/thread-616377-1-1.html","铁甲娱乐","志同道合","想买二手80","想买80挖掘机二手","想买80","2016-1-10 16:53:36","[铁甲人的一天]","想买 二手 想买 挖掘机 二手"
77,"http://bbs.cehome.com/thread-616366-1-1.html","挖掘机专区","选购询价","求购200大挖，30万左右","合资车优先！","也许12","2016-1-10 15:57:58","[21-30吨]","求购 大挖 左右 合资 优先"
78,"http://bbs.cehome.com/thread-616286-1-1.html","挖掘机专区","我爱我挖","需要购买二台PC120-6机子","需要购买二台PC120-6机子，有那个同行想转行的有上述机子的联系我。。。远不就不要了，在广州附近的。。13660992389","小佩","2016-1-10 10:20:07","[使用报告]","需要 购买 二台 机子 需要 购买 二台 机子 那个 同行 转行 上述 机子 联系 不就 不要 广州 附近"
79,"http://bbs.cehome.com/thread-616275-1-1.html","挖掘机专区","选购询价","求购","海南附近找台卡特320c或d","新起点，向前冲","2016-1-10 09:19:25","[机型对比]","求购 海南 附近 卡特"
80,"http://bbs.cehome.com/thread-616247-1-1.html","挖掘机专区","选购询价","求购120～150","求购120-150挖掘机要东北三省的车 10年后的车手续全的20左右 有的留微信","871028挖","2016-1-10 06:44:07","[13-20吨]","求购 求购 挖掘机 东北三省 年后 车手 左右 有的"
81,"http://bbs.cehome.com/thread-616238-1-1.html","挖掘机专区","选购询价","本人像买台小松200-7或220-7的车况好点的有车的朋友发图报价过来","好点的直喷车要的联系","guoguo12345678","2016-1-10 00:43:27","[机型对比]","本人 小松 车况 好点 有车 朋友 图报 过来 好点 直喷 联系"
82,"http://bbs.cehome.com/thread-616236-1-1.html","挖掘机专区","选购询价","求购350机型   最好是斗山   两年左右的车","求购350机型  最好是斗山  两年左右的车。","明天更精彩","2016-1-10 00:19:41","[30吨以上]","求购 机型 最好 斗山 两年 左右 求购 机型 最好 斗山 两年 左右"
83,"http://bbs.cehome.com/thread-616230-1-1.html","挖掘机专区","我爱我挖","急购日立70，神钢75—8","本人浙江金华，急购日立70或神钢75 —8。价格在20—25万左右，时间不超过7000小时。中介勿扰。年前成交，有意者联系18357951003。非诚勿扰。","zjwy2009","2016-1-10 00:03:32","[使用报告]","日立 神钢 本人 浙江 金华 日立 神钢 价格 左右 时间 超过 小时 中介 勿扰 年前 成交 有意者 联系 勿扰"
84,"http://bbs.cehome.com/thread-617109-1-1.html","挖掘机专区","选购询价","求购20顿的挖机一台","要求价位在35到40万，住友神钢最好，","泛滥の青春","2016-1-12 22:47:09","[21-30吨]","求购 挖机 一台 要求 价位 住友 神钢 最好"
85,"http://bbs.cehome.com/thread-617090-1-1.html","挖掘机专区","我爱我挖","求购中型挖掘机？","价格20万个人干活机！","Shi123456","2016-1-12 21:33:14","[维修改装]","求购 中型 挖掘机 价格 个人 干活"
86,"http://bbs.cehome.com/thread-617087-1-1.html","挖掘机专区","杂谈图库","求购12-16吨个人干活车！","价格20万左右，老爷车贩子勿扰！","Shi123456","2016-1-12 21:23:13","[生活杂谈]","求购 个人 干活 价格 左右 老爷车 贩子 勿扰"
87,"http://bbs.cehome.com/thread-617084-1-1.html","挖掘机专区","选购询价","求购斗山20吨左右～7系列纯土方车","价格20左右合适","铁甲小海","2016-1-12 21:16:03","[21-30吨]","求购 斗山 左右 系列 土方 价格 左右 合适"
88,"http://bbs.cehome.com/thread-617080-1-1.html","挖掘机专区","选购询价","求购","湖北武汉求购斗山20吨左右～7系，价格20左右","铁甲小海","2016-1-12 21:07:49","[21-30吨]","求购 湖北武汉 求购 斗山 左右 价格 左右"
89,"http://bbs.cehome.com/thread-617065-1-1.html","挖掘机专区","选购询价","求购日立60","江苏地区求购12年后没打过炮的日立60。","我在你身边","2016-1-12 20:29:38","[6-12吨]","求购 日立 江苏 地区 求购 年后 没打 日立"
90,"http://bbs.cehome.com/thread-617024-1-1.html","挖掘机专区","选购询价","求购370挖掘机一台","求购370挖掘机什么牌子好二手的多少铸钱三年内的","孙彦桂","2016-1-12 18:47:36","[机型对比]","求购 挖掘机 一台 求购 挖掘机 什么 牌子 二手 多少 三年"
91,"http://bbs.cehome.com/thread-617003-1-1.html","我与工程机械","装载机","准备购13年临工953！","2013年出厂，2014年提车，工时1500要价17，估计还有5000降价空间！","日进￥斗金","2016-1-12 17:13:38","[提车作业]","准备 出厂 工时 要价 估计 还有 降价 空间"
92,"http://bbs.cehome.com/thread-616916-1-1.html","挖掘机专区","杂谈图库","求购日立70小松60.70神钢75","要12年左右的车，有信息帅过来吧","神钢350，8","2016-1-12 09:39:49","[原创实拍]","求购 日立 小松 神钢 左右 信息 过来"
93,"http://bbs.cehome.com/thread-616892-1-1.html","挖掘机专区","我爱我挖","收一台3000小时左右的加藤1430，没有打过炮锤的。","电话18566041991陈，另外过完年招司机两名","机情人生","2016-1-12 08:04:11","[提车作业]","一台 小时 左右 加藤 没有 打过 电话 另外 过完 司机 两名"
94,"http://bbs.cehome.com/thread-616820-1-1.html","挖掘机专区","杂谈图库","求购小松200-7或日立-3g的车有车的朋友发图看看。","钱已备好，就差看机了","guoguo12345678","2016-1-12 01:07:03","[生活杂谈]","求购 小松 日立 有车 朋友 看看 备好 就差"
95,"http://bbs.cehome.com/thread-616769-1-1.html","挖掘机专区","选购询价","三一75-9","求购三一75-9。   20万左右13年以后的优先","小小挖--","2016-1-11 20:34:53","[6-12吨]","三一 求购 三一 左右 以后 优先"
96,"http://bbs.cehome.com/thread-616732-1-1.html","挖掘机专区","选购询价","求购小机","本人弄一小机自用的，想问下是小松60还是日立70有什么区别？？","fkeddd1986","2016-1-11 19:34:13","[6-12吨]","求购 本人 一小 自用 想问 小松 还是 日立 什么区别"
97,"http://bbs.cehome.com/thread-616703-1-1.html","挖掘机专区","选购询价","求购20吨挖机","求购20吨挖机不要国产，贩子勿扰，只要老板一手车，帮朋友找的","nitao","2016-1-11 18:09:56","[13-20吨]","求购 挖机 求购 挖机 不要 国产 贩子 勿扰 只要 老板 一手 朋友"
98,"http://bbs.cehome.com/thread-616686-1-1.html","挖掘机专区","选购询价","求购","黑龙江省内求购极品小松，日立，住友200-240机型一台，接手就能干活，30万左右","嘉嘉9527","2016-1-11 17:00:47","[21-30吨]","求购 黑龙江省 求购 极品 小松 日立 住友 机型 一台 接手 就能 干活 左右"
99,"http://bbs.cehome.com/thread-616636-1-1.html","挖掘机专区","选购询价","求购60机11年后的品牌不限！","最好江西内的机和价相对机况好就行！天价机勿扰！贩子勿扰！","X7冷枫","2016-1-11 14:23:11","[6-12吨]","求购 年后 品牌 不限 最好 江西 相对 就行 天价 勿扰 贩子 勿扰"
